NASA/LANGLEY LS(1)-0417 (GA(W)-1) AIRFOIL flap only
 1.0000000    -0.0007400
 0.9750000     0.0060400
 0.9500000     0.0128700
 0.9250000     0.0196500
 0.9000000     0.0263900
 0.8750000     0.0331300
 0.8500000     0.0398300
 0.8250000     0.0464400
 0.8000000     0.0529100
 0.8000000    -0.0158700
 0.8250000    -0.0119100
 0.8500000    -0.0085200
 0.8750000    -0.0056500
 0.9000000    -0.0035200
 0.9250000    -0.0024800
 0.9500000    -0.0025700
 0.9750000    -0.0039600
 1.0000000    -0.0078300
